0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,salida
2705,32,1771,800,78,3,450,664,1219,42,29,38,437,39,840,841,76,0,24,65,11,0,11,23,412,15,19,36,813,23,1252,543,2166,20,1162,243,25,1,95,143,29,1,9,10,15,0,33,30,430,22,90,25,2,0,83,68,738,47,32,17,1353,25,1510,538,25,4,16,2,1,0,25,10,73,19,0,0,16,12,48,26,1,0,0,0,0,0,0,0,36,11,0,0,31,11,25,30,715,4,219,237,62,0,27,124,40,0,11,29,44,0,15,48,544,11,138,129,24,1,75,278,819,49,22,81,556,23,532,915,480,115,18,455,43,17,19,355,304,102,1,22,63,110,41,633,37,5,0,60,6,2,0,26,66,44,0,48,53,83,11,420,17,13,0,22,0,0,4,10,1,0,0,0,0,1,0,7,12,16,2,9,0,0,5,22,36,60,0,2,20,45,12,113,117,91,9,211,6,9,26,231,89,128,0,8,40,185,76,685,8,12,0,22,4,0,0,13,95,167,2,17,76,946,42,2303,379,392,16,345,48,18,6,182,32,11,0,19,53,24,1,90,285,247,10,167,15,13,17,293,516,628,4,86,450,2413,116,4384,Forest
1766,3,3123,738,12,0,445,381,698,6,8,5,133,12,722,311,8,0,0,10,0,0,3,9,124,2,3,2,145,15,1667,135,2721,1,3957,173,1,1,47,37,2,0,1,1,2,0,2,5,322,0,47,8,2,0,236,67,683,2,6,4,1085,6,2703,192,0,0,1,1,0,0,2,1,2,1,0,0,6,1,3,8,0,0,0,0,0,0,0,1,10,0,0,1,12,14,11,12,598,2,122,345,10,0,2,77,8,0,3,6,5,0,1,11,161,1,26,86,2,0,64,106,187,8,5,13,69,30,143,177,461,88,9,466,8,3,1,250,30,17,0,11,21,80,4,364,3,0,0,5,0,0,0,7,23,12,0,4,23,100,2,235,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,3,0,0,2,13,0,27,41,342,0,1381,0,1,0,99,18,10,0,2,16,71,9,222,1,1,0,3,0,0,0,0,73,63,1,0,93,1133,19,4482,372,1536,2,2577,15,4,0,83,15,0,0,9,4,0,2,30,65,48,0,89,4,0,0,88,106,137,0,22,113,3032,17,5594,Forest
3555,0,4256,275,0,0,21,107,119,1,0,0,204,4,154,92,5,0,1,0,0,0,0,1,197,2,0,0,2098,79,2184,503,3763,1,3246,238,2,0,19,133,1,0,1,0,0,0,1,0,61,0,54,1,0,0,3,6,271,4,5,1,2521,84,1604,344,0,0,0,0,0,0,0,0,2,2,0,0,2,1,9,1,0,0,0,0,0,0,0,0,9,2,0,0,49,26,88,43,275,2,122,46,2,0,0,13,1,0,1,1,1,0,0,1,132,2,98,11,2,0,8,26,52,1,1,2,364,30,329,196,46,63,0,50,1,1,0,4,31,27,0,1,17,33,4,21,4,2,0,3,0,3,0,0,13,7,0,1,106,124,17,236,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,37,83,24,83,42,863,0,1033,4,84,0,277,31,197,0,41,10,295,9,570,1,76,0,95,0,21,0,45,32,258,0,96,97,1795,109,3050,51,582,0,458,2,106,0,151,5,27,0,27,3,118,0,84,12,152,0,92,2,49,0,133,43,345,0,86,193,2937,97,5225,Forest
3625,19,2354,281,20,0,1007,413,511,17,12,5,157,31,356,295,24,0,10,21,3,0,7,6,239,17,9,8,606,56,928,267,1916,6,1300,74,1,0,366,150,5,0,3,2,5,0,4,8,1018,1,399,9,2,0,943,156,502,10,10,3,738,19,947,190,0,2,1,6,0,0,6,3,16,6,0,0,14,7,8,21,0,0,0,0,0,0,0,0,40,10,0,0,65,54,24,58,355,1,88,147,10,0,6,33,7,0,0,13,10,0,3,14,373,2,125,57,12,1,144,198,362,13,13,29,291,62,204,321,1267,415,9,980,28,14,1,203,109,50,1,28,54,80,17,287,22,9,1,24,2,3,0,15,41,27,0,14,95,199,21,324,9,6,0,7,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,5,6,14,17,0,0,15,49,6,76,385,392,0,891,8,20,1,237,51,74,0,36,33,144,11,399,13,12,0,31,3,4,1,13,78,134,0,20,241,1970,67,2697,993,636,4,1609,19,28,0,337,34,30,0,75,21,23,0,128,224,208,5,326,12,26,7,199,253,325,0,124,380,2497,72,4756,Forest
4101,1,2562,281,3,1,1082,460,308,10,2,0,234,51,284,141,2,0,0,1,0,0,0,2,269,10,1,0,429,100,364,302,1889,0,1419,138,0,0,518,278,2,0,0,0,2,0,2,5,896,1,464,0,0,0,437,166,217,6,1,0,270,50,320,194,2,0,1,0,0,0,0,1,5,2,0,0,10,3,5,8,0,0,0,0,0,0,0,0,68,6,0,0,118,58,43,94,200,0,104,148,0,0,3,30,3,0,0,1,0,0,0,0,497,2,310,44,0,0,170,189,161,7,1,0,265,113,208,296,880,617,1,977,8,35,1,237,123,67,1,43,95,116,22,239,10,7,0,13,0,2,1,9,103,21,0,12,201,315,41,533,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,15,3,0,0,29,69,20,149,627,810,2,1195,7,70,0,470,82,164,0,64,27,175,9,413,14,65,0,79,0,21,0,75,152,129,0,65,349,1457,95,2362,753,815,1,1286,18,81,0,411,86,63,0,76,13,44,0,168,233,321,3,455,15,57,1,430,316,328,0,173,426,1714,122,5550,Forest
3660,0,1561,489,17,0,421,1067,1101,47,8,8,449,89,785,525,27,0,12,18,1,0,0,13,481,29,9,17,485,66,781,421,1557,0,933,177,11,0,104,544,8,0,0,2,8,0,8,7,432,1,121,10,3,0,153,142,751,37,20,10,865,92,979,425,1,0,1,0,0,0,0,0,40,10,0,0,27,4,37,31,0,0,0,0,0,0,0,0,70,11,0,0,72,26,107,89,463,1,159,141,13,0,6,135,12,0,2,7,18,0,6,13,1106,0,464,147,9,0,194,880,510,32,11,16,395,97,477,722,916,266,1,570,39,56,0,268,405,150,0,85,134,162,74,582,55,19,0,45,8,8,0,41,160,74,0,46,112,142,61,434,7,1,0,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,105,37,0,1,55,98,48,243,255,235,0,222,21,46,0,195,142,140,0,36,60,166,50,574,59,67,0,51,10,24,0,73,172,188,0,58,130,479,100,1473,588,209,2,378,54,46,0,275,70,36,0,53,45,54,0,208,335,239,2,260,54,89,0,426,602,487,1,189,497,1468,263,5391,Forest
3183,10,4361,118,2,0,48,19,173,1,10,0,103,3,149,21,1,0,5,0,0,0,3,0,95,0,5,0,549,115,410,228,3030,19,3604,80,2,0,49,13,11,0,4,0,1,0,2,1,344,0,49,0,5,0,114,1,226,0,14,0,377,53,431,179,3,1,1,1,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,98,26,51,50,150,1,87,91,0,0,0,1,0,0,0,0,0,0,0,0,111,1,94,37,0,0,24,41,16,1,0,0,204,67,190,209,168,45,1,107,2,5,0,10,21,3,0,2,3,8,5,27,2,0,0,0,0,0,0,0,12,1,0,1,161,210,52,344,3,12,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,34,58,12,95,79,2288,3,3074,0,74,0,308,15,139,0,63,1,108,0,246,4,51,0,64,0,7,0,50,88,88,0,47,301,1820,79,3598,476,1878,16,2624,2,51,0,180,3,66,0,31,1,46,0,80,107,223,0,367,1,38,1,241,127,181,0,198,259,3049,164,5209,Forest
4459,6,870,238,75,0,649,1168,1657,203,7,35,370,93,497,485,54,0,10,34,11,0,3,24,357,65,4,30,235,93,207,244,892,0,424,53,10,1,234,336,13,0,3,5,8,0,5,13,641,5,230,12,1,0,310,361,555,122,3,9,195,92,354,375,6,2,1,1,0,0,0,4,207,72,0,1,86,49,108,92,0,1,0,0,0,0,0,0,89,44,0,0,124,89,67,119,282,3,48,163,49,0,11,76,35,0,1,47,31,0,2,75,1153,3,360,62,22,0,362,1349,542,112,17,53,240,115,364,972,1706,294,3,748,198,46,2,236,350,140,0,109,115,108,94,332,180,39,0,146,46,15,0,66,136,72,0,125,152,144,58,416,2,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,4,4,0,0,0,0,3,4,82,118,0,1,53,131,106,363,283,240,0,313,38,45,3,120,125,212,0,62,67,180,137,493,36,40,0,77,13,9,0,42,100,209,0,61,183,466,148,1100,745,296,1,702,152,73,1,331,129,60,0,241,132,48,1,404,211,120,0,338,58,42,5,335,330,565,0,373,381,1100,318,4878,Forest
4246,2,940,565,101,0,691,701,2240,98,24,52,491,73,729,715,105,0,24,52,22,0,10,35,538,33,14,33,684,56,705,366,871,0,515,175,21,0,163,160,32,0,15,12,12,0,7,24,703,1,154,17,11,0,439,376,683,48,14,11,710,56,1050,524,2,0,0,0,0,0,3,0,132,57,0,0,39,42,45,67,0,0,0,0,0,0,0,0,60,38,0,0,49,76,55,101,505,1,147,434,40,1,25,109,47,1,24,59,35,1,18,86,637,2,166,154,36,0,368,764,814,60,27,109,361,84,597,1523,1400,157,0,647,89,11,1,157,353,128,0,91,105,96,53,303,82,12,0,86,24,2,0,35,99,61,0,44,88,116,38,234,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,45,57,0,0,35,79,54,203,141,50,1,138,20,6,0,50,157,235,0,23,54,275,60,480,18,3,0,27,6,5,0,18,113,278,1,18,122,1016,93,1534,548,134,0,696,64,29,0,237,84,14,0,143,43,15,0,217,136,38,0,243,45,16,1,195,315,435,0,159,240,1470,169,4818,Forest
4168,25,2370,651,49,2,221,326,1043,57,23,25,623,40,712,362,52,0,11,25,6,0,9,16,567,14,6,17,1927,24,1565,536,2251,5,1774,353,20,1,79,157,16,0,13,18,13,0,17,23,232,6,77,26,3,0,136,78,635,16,19,10,1546,19,1864,619,15,7,3,4,1,1,4,9,72,33,1,0,22,21,18,39,0,0,0,0,0,0,1,0,26,18,0,0,27,30,17,35,573,4,345,377,28,3,27,102,31,1,13,40,5,1,5,55,286,8,133,98,28,1,50,273,378,37,21,41,503,37,537,812,395,63,11,188,35,12,11,105,209,111,0,33,42,113,25,250,33,3,2,17,8,3,0,17,61,31,1,16,48,66,9,128,15,6,1,7,1,1,1,7,0,1,0,0,1,2,1,1,8,4,1,0,0,0,3,10,28,29,0,0,13,27,11,68,73,52,2,67,4,4,4,38,114,345,0,11,30,430,23,600,11,6,0,15,1,5,1,14,93,422,0,13,65,1799,28,1972,185,77,11,171,18,8,1,83,38,6,0,38,14,18,2,60,94,47,2,64,17,14,11,113,199,585,1,48,124,1873,68,6188,Forest
